,text,intent
165,ما هى اعراض الاصابه بالكورونا؟,symptoms
531,طفشت من قعدة البيت,home quarantine
244,هل ممكن اروح المستشفى اقولهم حللولي عشان النفس تقيل,business location
184,اعمل ايه وانا مضطر انزل الشغل و شغلي كل يوم ف مكان مختلف,education and work
14,كم عدد المصابين اليوم في مصر,infected cases
705,عدد الحالات في إسرائيل,infected cases
233,البيان,infected cases
113,ما هي الأعراض,symptoms
66,ما هي اضرار فيروس كورونا,about corona virus
277,أهلا بحضرتكم تشرفنا بيكم,reviews
679,سألتها ما هي علامات المرض ؟,symptoms
264,الحالات في مصر قد ايه ؟,infected cases
589,اي محافظات تم اكتشاف حلات فيها,infected cases
328,هل مرض كورونا يؤثر على المصابين بالتهاب في الرئة؟,symptoms
126,اعداد الحالات في اطاليا و هولاندا,infected cases
571,العامة,nothing identified
15,ماهى آخر تطورات كورونا فى السعوديه,infected cases
498,كام عدد حالات مصر,infected cases
70,اهل ممكن العدد تزي,infected cases
38,عدد الاصابات,infected cases
374,كم عدد المصابين في مصر اليوم؟,infected cases
340,علشان تجنب,nothing identified
760,كم عدد الحالات في كندا,infected cases
778,هاى,greeting
783,انتى مين ؟,about bot
79,عاوز اعرف طرق الوقايه من فيرس كرونا,precautions
554,إعداد الحالات,infected cases
47,طرق العدوي,transfer methods
76,كام عدد المصابين في أمريكا بالكرونه,infected cases
447,"كنت بسأل عن تمرين النفس عايزه اعرف اذا كان صح ولا 
شكرا على المعلومه",breathing test
561,هي إيه طرق التطهير الكويسة عشان في روسكورو,sterilization and disinfection
199,كام واحد مات من كورونا  النهاردة,infected cases
438,عدد الحالات,infected cases
351,رائع جدًا .. شكرًا جزيلاً .,reviews
335,كام حالة في مصر,infected cases
266,نتيجة التحليل سلبيه مع حمل المرض,laboratory
259,عدد المصابين في العالم,infected cases
409,كم عدد الاصابات في امركا,infected cases
435,عدد الوفيات حالات الكورونا فى مصر,infected cases
581,كم حاله امس,infected cases
703,ممكن اعرف اخر مستجدات كورونا,about corona virus
597,انت جميل,crush
711,عدد الوفيات,infected cases
698,الحالات في كولومبيا,infected cases
148,عدد وفيات كورونا وعدد المصابين وفي علاج ليه ًوله لا,infected cases
318,عدد الحالات في سلطنة عمان,infected cases
775,ازاي اعرف لو حد مريض كورونا او لا,symptoms
475,كيف اعرف اذا كان عندى كورونا ولا لأ؟,assessment
582,أو على الأصابات في مدينة أسوان في لكورونا,infected cases
161,هل أصيب احد بالفيروس في سجون مصرية,infected cases
723,ايه نوع الكحول اللي اعقم بيه البيت,sterilization and disinfection
625,العلاج,treatment
345,اعداد المصابين في مصر الان,infected cases
761,هل اثبت اي علاج للكورونا حتي الان فعاليته في القضاء عليها,treatment
43,انا زعلان أوي,panic among the people
418,عدد الوفيات في مصر,infected cases
158,اعداد الاصابات,infected cases
147,كام في فلسطين,infected cases
725,ما هي فكرة الأهرامات,nothing identified
202,طرق الوقاية,precautions
99,سمعنا ان ريميدسفير وافيجان وبلاكونيل  هل ده صح,treatment
497,اعداد الحالات,infected cases
296,اذيك,nothing identified
488,صباح الخير,greeting
5,عارفه يا نميسا انا عندى ليكى عريس,crush
517,عايزة أعرف الحالة إلي أحنا فيها والقلق حينتهي أمتي,panic among the people
198,ماهو الخط الساخن,emergency
786,اهلا,greeting
240,ولا يبان انك روبوت,reviews
301,مستشفيات العزل,business location
116,اهم التوصيات,precautions
542,اهلا بكم,greeting
382,معنديش حاجه,nothing identified
287,خلال ال24الماضية,infected cases
578,الحجر المنزلي,home quarantine
384,أشكرك,reviews
405,اعدد المصابين اليوم في مصر,infected cases
476,ما هو موعد انقضاء الوباء,the evolution of the virus
152,برافو,reviews
643,الحالات فى الصين,infected cases
613,ممكن تقوليلي يا نميسه  هل لبس الماسكات مهم ولا لأ,muzzle/mask
361,الاسهال عرض,symptoms
160,الحل,treatment
690,عدد الاصابات بكرونا اليوم في السعودبة,infected cases
151,طب ينفع تقوليلي العدد الي اتصاب يوم الثلاثاء في مصر,infected cases
410,اعداد الحالات في فرنسا وإسبانيا و الأردن,infected cases
739,عدد المصابين في مصر يوم 13,infected cases
762,حالات كورونا الجديده بمصر,infected cases
261,ايه هوا اصل الفيروس؟,about corona virus
721,سلبيات كورونا,about corona virus
745,كيفيه الوقاية من كورونا,precautions
362,من الدوله المتسببه ف ظهور فيروس كورونا,about corona virus
664,العدوي ممكن تتنقلي من الهوا لما بنزل الشارع,transfer methods
347,هل نحن وصلنا إلى الذروة ام لا,the evolution of the virus
237,ماهى مستشفيات الحجر بمصر,business location
714,التاريخ المتوقع لانتهاء فيرس كرونا فى مصر,the evolution of the virus
49,هل يوجد علاج لفيروس كورونا الان,treatment
189,انا اشعر بسخونه فى جسدى,assessment
381,و ممكن تكون اعراض ربو او ارتجاع مرى,assessment
231,بلدك؟,nothing identified
322,لو عايز اسافر دلوقتى اعمل ايه؟,nothing identified
757,حماده اوى,reviews
29,هل كورنا تنتشر عن طريق الهواء,transfer methods
509,صباح الخير 😊,greeting
515,ماليزيا,infected cases
395,الفيرس بيفضل عايش قد ايه علي الاسطح,transfer methods
645,سلام عليكم,greeting
784,طيب عايزه اي اساليب اتبعها عشان اقدر احمي عيالي,precautions
710,ما هي المواد التي يمكن وضعها في الرشاش المستخدم في التعقيم في المنزل و ما التركيزات؟,sterilization and disinfection
354,اعداد المصابين في إنجلترا و هولندا,infected cases
127,عدد الوفيات في كندا,infected cases
62,ليه توقيت معين ينتهي فيه ؟,the evolution of the virus
500,فلسطين,infected cases
652,انا اشعر بهمدان جسم وانا لا انام نوم منتظم بما تنصحيني,symptoms
332,متقلقيش,nothing identified
527,ايه,nothing identified
252,"تحية شكر وتقدير لكل شاب مصري مبدع
 وشارك في هذا التطبيق",kindness
533,السلام عليكم  ازيك,how are you
445,اعداد الحالات في ايطاليا,infected cases
728,كيف تنتقل العدوي بفيروس كورونا,transfer methods
390,هل في نوع معين من الأكل كويس ضد فيرس كرونة,food and drinks
406,اين توجد مستشفيات العزل؟,business location
74,ما الجديد,greeting
196,كم عدد الحالات المسجلة فى مصر,infected cases
548,ماهى طرق تجنب العدوي وكيف احمى نفسى,precautions
529,شكرا لكي,reviews
724,الصداع والضغط الواطي من اعراض كرونا,symptoms
117,الحالات في النرويج,infected cases
606,قطر,infected cases
453,كم  عدد الاصابات في اران,infected cases
684,اهلا ومرحبا,greeting
37,شكرًا,reviews
683,ازيك ناميسه,how are you
109,عدد الحالات النهارده كام با نميسه,infected cases
138,ماهو فيروس كورونا؟,about corona virus
673,هاي,greeting
53,في كام حالة في مصر النهاردة نميسة,infected cases
97,هذه الحالات في مصر ولبنان,infected cases
334,كم عدد الحالات في مصر اليوم,infected cases
580,لو تعاملت مع شخص مصاب جديد  لم تظهر عليه علامات المرض. هل الكمامه والجوانتي يكفوا للحمايه م العدوي؟,muzzle/mask
331,هو في مصر في كم واحد مصاب,infected cases
267,تنصحيني بيه عشان فيرس كرونة,precautions
220,فين بس,nothing identified
635,الهند,infected cases
753,الحالات وصلت لكام في اسبانيا,infected cases
31,اشكرك,reviews
40,مصر,infected cases
163,ما بعد كروانا  ايه,the evolution of the virus
115,المصابين في مصر والدولة السعودية,infected cases
260,زي أعمل تحليل فيرس كرونو,laboratory
140,ازي افرق بين الصداع العادي والصداع أعراض الكورنا,comparison
443,كام عدد الحالات في انجولا,infected cases
522,محتاج اعرف الاعراض الاوليه لكرونا,symptoms
155,لو سمحت اي اللي ممكن يفصل بين وجع الزور العادي و النغرشه و بين الكورونا,comparison
436,اهلا وازيك,how are you
232,كم عدد الاصابات في الهمد,infected cases
383,كن عدد الحالات في المغرب,infected cases
368,احنا بقينا كام واحد عنده كرونا دلوقتي,infected cases
141,لا شكراً,reviews
480,الحالات في تركيا,infected cases
419,اي اعراض كرونا,symptoms
672,أعراض مرض كورنا,symptoms
282,الكحه خطر,assessment
350,تكرار للى معروف,nothing identified
217,أنا حاسة سخونية و درجة حرارتي عالية ده ممكن يكون برد ولا فيرس كرونة,assessment
201,اعراض مرض كرونا,symptoms
285,تعليمات,nothing identified
215,اسهال,symptoms
216,الدوله التي لم ينتشر به وباء كورونا,nothing identified
133,ايه أعراض كورونا,symptoms
538,هل المرض ينقل عن طريق الهواء,transfer methods
73,متشكر جدا,reviews
636,دواء,treatment
675,عندى سعال  مصاحب ببلغم هل كده تبقى كورونا,assessment
623,عاطيب امريكا رايحه على فين؟,infected cases
257,اشكركم على احترامكم وربنا يجعله في ميزان حسناتكم يارب العالمين,kindness
442,عايزه تقرير النهارده بس,infected cases
595,كلنا كدا بالحجر المنزلى,home quarantine
52,عدد الحالات الجديدة في السعودية,infected cases
451,كيفية تكاثر فيرس كورونا,transfer methods
284,إعداد المصابين في لبنان و مصر و السعودية ؟,infected cases
295,أود ان اتعرف علي كم حالات الكرونا اليوم؟,infected cases
57,الاعداد,infected cases
628,اعداد المصابين فى العالم,infected cases
534,ممكن اعرف اخر الأعداد الخاصة بإصابات فيروس كورونا اليوم,infected cases
702,هل التدخين لقب فيروس كرونة,smoking
685,اعقم البيت ازاي واستخدم انهي كحول ؟,sterilization and disinfection
230,عددالوفيات فى امريكا,infected cases
238,عدد الحالات في السعوديه,infected cases
341,عدد الحالات المصابة في ألمانيا,infected cases
617,شكرا,reviews
96,عايز اشحن الموبايل,nothing identified
737,حالات النمسا,infected cases
526,طيب,nothing identified
39,ماهو كورونا ؟,about corona virus
139,نسبه نسبه,infected cases
506,هل مرض كورونا في مصر وصل لذروته,infected cases
712,ما سبب الحرقان المستمر ف الزرو مع الريق الناشف,assessment
661,إيه هو أسوأ سيناريو ممكن يحصل لمصر,the evolution of the virus
634,العرف ازاي اني مصابه بالكورونا,symptoms
687,ينفع اسال علي اي حاجه تاني,nothing identified
78,اندونسيا,infected cases
176,هي الحالات في السعودية وصلت لك إمبارح,infected cases
537,شكرا لذوقك,reviews
789,متى ينتهى فيروس كورونا,the evolution of the virus
461,المغرب,infected cases
599,زي أعمل تحليل فيرس كرونة,laboratory
637,الحالات فى مصر,infected cases
414,ازاي احمى نفسي من كورونا,precautions
479,كم يوم بيفضل الفايروس على الاسطح,transfer methods
466,شكرا لحضرتكم,reviews
787,بلح,nothing identified
95,ماهي عدد الحالات اليومية لمحافظة بورسعيد من ظهور الكرونا فيرس الى الان,infected cases
446,الاعراض,symptoms
75,كيف اطهر,sterilization and disinfection
666,أعراض مواد القروض,symptoms
777,أيوه ده ايه علاقته بالسؤال؟,nothing identified
633,شكرا نميسة,reviews
249,هل كورونا خطر على كل الناس,panic among the people
701,أقصد يعني هي ليه عارض من اول يوم,symptoms
192,اعداد الإصابة في فلسطين,infected cases
519,اي اعداد الاصابات في مصر النهارده,infected cases
424,ما هو العلاج الوقائي ضد فيروس كورونا,precautions
32,ممكن اعرف اعراض الكورونا,symptoms
364,امتي ينتهي الفيرس,the evolution of the virus
505,اهلا يا نميسة🤣,greeting
137,عدد إيطاليا,infected cases
563,بقينا كام مصاب لحد دلوقتي ؟,infected cases
741,اي المحافظات المصرية ظهرت بها حالات إصابة وعدد الوفيات,infected cases
